clean_row_id,id,exact_polymer_name,repeat_unit_name,parent_family,monomer_structure_text,structure_2d,structure_3d,heteroatom_type,fused_ring_count,ring_system_type,backbone_type,backbone_planarity,side_chain_present,side_chain_type,side_chain_length,side_chain_branching,charge_type,base_polymer_or_derivative,notes_on_structure,reference_doi,datapoint_id,polymer_family,validation_status,molecular_design_flag,doping_flag,transport_decoupling_flag,morphology_control_flag,hybrid_composites_flag,category_labels,primary_strategy
OTE-000001,A1,PDPPSe-12,selenium-substituted diketopyrrolopyrrole,Diketopyrrolopyrrole (DPP),Diketopyrrolopyrrole core with selenium-substituted thiophene units and branched alkyl side chains,Fig. 1b,Extended Data Fig. 1b,"Se, N, O, S",2,Heterocyclic,Conjugated,Planar,Yes,Alkyl,"$C_{12}, C_{10}$",Branched,p-type,Base,"polycrystalline, high-mobility",10.1038/s41586-024-07724-2,A1,Diketopyrrolopyrrole (DPP),not_checkable,1,0,0,0,0,Molecular Design,Molecular Design
OTE-000002,A2,PBTTT,"poly(2,5-bis(3-tetradecylthiophen-2-yl)thieno[3,2-b]thiophene)",Polythiophene,"Alternating thieno[3,2-b]thiophene and thiophene units with linear tetradecyl side chains",Fig. 1c,Extended Data Fig. 1c,S,2,Heterocyclic,Conjugated,Planar,Yes,Alkyl,$C_{14}$,Linear,p-type,Base,"liquid-crystalline features, high-mobility",10.1038/s41586-024-07724-2,A2,Polythiophene,not_checkable,1,0,0,0,0,Molecular Design,Molecular Design
OTE-000003,A3,"(6, 4, 4) PMHJ",,Polymeric multi-heterojunction,Periodic dual-heterojunction structure composed of alternating sub-10-nm layers of P1 and P2,Fig. 1a,Extended Data Fig. 1b-d,"Se, N, O, S, F",,Combined,Composite,,Yes,Mixed,,,p-type,Architecture,"6 nm P1 layer, 4 nm PBTTT layer, 4 nm interpenetrating interface",10.1038/s41586-024-07724-2,A3,Polymeric multi-heterojunction,not_checkable,1,0,0,0,0,Molecular Design,Molecular Design
OTE-000004,A4,P3HT,,,,,,,,,,,,,,,,,,,A4,Polymeric multi-heterojunction,not_checkable,1,0,0,0,0,Molecular Design,Molecular Design
OTE-000005,A5,PDPP4T,,,,,,,,,,,,,,,,,,,A5,Polymeric multi-heterojunction,not_checkable,1,0,0,0,0,Molecular Design,Molecular Design
OTE-000006,A6,P3HT,,,,,,,,,,,,,,,,,,,A6,Polymeric multi-heterojunction,not_checkable,1,0,0,0,0,Molecular Design,Molecular Design
OTE-000007,A7,PDPP4T,,,,,,,,,,,,,,,,,,,A7,Polymeric multi-heterojunction,not_checkable,1,0,0,0,0,Molecular Design,Molecular Design
OTE-000008,A8,P3HT,,,,,,,,,,,,,,,,,,,A8,Polymeric multi-heterojunction,not_checkable,1,0,0,0,0,Molecular Design,Molecular Design
OTE-000009,A9,PBTTT-C14,,,,,,,,,,,,,,,,,,,A9,Polymeric multi-heterojunction,not_checkable,1,0,0,0,0,Molecular Design,Molecular Design
OTE-000010,A10,P2TDC17-FT4,,,,,,,,,,,,,,,,,,,A10,Polymeric multi-heterojunction,not_checkable,1,0,0,0,0,Molecular Design,Molecular Design
OTE-000011,A11,P3HT,,,,,,,,,,,,,,,,,,,A11,Polymeric multi-heterojunction,not_checkable,1,0,0,0,0,Molecular Design,Molecular Design
OTE-000012,A12,PBTTT-C14,,,,,,,,,,,,,,,,,,,A12,Polymeric multi-heterojunction,not_checkable,1,0,0,0,0,Molecular Design,Molecular Design
